Identifier	Comment	English	EnglishNodes	Deutsch	ZH	BE	SG	Francais
L_physappearance_ironsulfide_quant_class_none		none	1	kein	1	0%	1	1
L_physappearance_ironsulfide_quant_class_moderate		moderate	2	wenig	2	1 - 30 %	2	2
L_physappearance_ironsulfide_quant_class_high		high	3	viel	3	> 30%	3	3
A_physappearance_ironsulfide_origin_class		ironsulfide_origin_class	C_Eisensulfid	Eisensulfid_Ursache_Klasse	C_Eisensulfid	EisensulfidFlecken_natuerlich	C_Eisensulfid	C_Eisensulfid
L_physappearance_ironsulfide_origin_class_natural		natural	1	natuerlich	1	Ja	1	1
L_physappearance_ironsulfide_origin_class_anthropogenic		anthropogenic	2	anthropogen	2	Nein	2	2
A_physappearance_clogging_quant_class		clogging_quant_class	A_Kolmation	Kolmation_Klasse	A_Kolmation	Kolmation	A_Kolmation	A_Kolmation
L_physappearance_clogging_quant_class_none		none	1	kein	1	keine oder nur sehr geringe	1	1
L_physappearance_clogging_quant_class_moderate		moderate	2	leicht	2	deutlich spuerbare	2	2
L_physappearance_clogging_quant_class_high		high	3	stark	3	starke /sehr starke	3	3
A_physappearance_clogging_origin_class		clogging_origin_class	C_Kolmation	Kolmation_Ursache_Klasse	C_Kolmation	Kolmation_natuerlich	C_Kolmation	C_Kolmation
L_physappearance_clogging_origin_class_natural		natural	1	natuerlich	1	Ja	1	1
L_physappearance_clogging_origin_class_anthropogenic		anthropogenic	2	anthropogen	2	Nein	2	2
A_physappearance_solidwaste_quant_class		solidwaste_quant_class	A_Feststoffe_SE	Abfaelle_Klasse	A_Feststoffe_SE	Abfaelle_SE	Feststoffe_Abfaelle	A_Feststoffe_SE
L_physappearance_solidwaste_quant_class_none		none	1	kein	1	keine	1	1
L_physappearance_solidwaste_quant_class_moderate		moderate	2	vereinzelt	2	wenige/ mittel	2	2
L_physappearance_solidwaste_quant_class_high		high	3	viel	3	viel	3	3
A_physappearance_hetcover_quant_class		hetcover_class	A_hetero_Bew	Heterotropherbewuchs_Klasse	A_hetero_Bew	Heterotropher_Bewuchs	heterotropher_Bewuchs	A_hetero_Bew
L_physappearance_hetcover_quant_class_none		none	1	kein	1	keine 	1	1
L_physappearance_hetcover_quant_class_scattered		scattered	1.5	vereinzelt	1.5	vereinzelt	1.5	1.5
L_physappearance_hetcover_quant_class_little		little	2	wenig	2	wenig	2	2
L_physappearance_hetcover_quant_class_moderate		moderate	2.5	mittel	2.5	haeufig	2.5	2.5
L_physappearance_hetcover_quant_class_high		high	3	viel	3	haeufig	3	3
A_physappearance_hetcover_origin_class		hetcover_origin_class	C_hetero_Bew	Heterotropherbewuchs_Ursache_Klasse	C_hetero_Bew	Heterotropher_Bewuchs_natuerlich	C_hetero_Bew	C_hetero_Bew
L_physappearance_hetcover_origin_class_natural		natural	1	natuerlich	1	Ja	1	1
L_physappearance_hetcover_origin_class_anthropogenic		anthropogenic	2	anthropogen	2	Nein	2	2
								
N_micropoll		micropollutants	micropollutants	Mikroverunreinigungen	Mikroverunreinigungen	Mikroverunreinigungen	Mikroverunreinigungen	Mikroverunreinigungen
N_micropollcontinous		mp continous	mp continous	kont. MV	kont. MV	kont. MV	kont. MV	kont. MV
N_micropollcontinous_fish		toxic fish	toxic fish	Tox. Fische	Tox. Fische	Tox. Fische	Tox. Fische	Tox. Fische
N_micropollcontinous_invertebrates		toxic inverts	toxic inverts	Tox. Wirbell.	Tox. Wirbell.	Tox. Wirbell.	Tox. Wirbell.	Tox. Wirbell.
N_micropollcontinous_algae		toxic algae	toxic algae	Tox. Algen	Tox. Algen	Tox. Algen	Tox. Algen	Tox. Algen
A_micropollcontinous_fish_TU		fish_TU	TU fish	TU Fische	TU Fische	TU Fische	TU Fische	TU Fische
A_micropollcontinous_invertebrates_TU		inverts_TU	TU inverts	TU Wirbell.	TU Wirbell.	TU Wirbell.	TU Wirbell.	TU Wirbell.
A_micropollcontinous_algae_TU		algae_TU	TU algae	TU Algen	TU Algen	TU Algen	TU Algen	TU Algen
								
N_pesticides		mp episodic	pesticides	episod. MV	Pestizide	Pestizide	Pestizide	Pestizide
N_pesticides_photosynthesisinhibitors	photosynthesis inhibitors	PhotosynthI	PhotosynthI	PhotosynthI	PhotosynthI	PhotosynthI	PhotosynthI	PhotosynthI
N_pesticides_VLCFASI	verylong-chain fatty acids synthesis inhibitors (chloroacetanilide)	VLCFASI	VLCFASI	VLCFASI	VLCFASI	VLCFASI	VLCFASI	VLCFASI
N_pesticides_AChEI	acetylcholinesterase inhibitor (organophosphates)	AChEI	AChEI	AChEI	AChEI	AChEI	AChEI	AChEI
N_pesticides_auxinactivity	herbicides influencing auxin activity of specific plants	AuxinAct	AuxinAct	AuxinAct	AuxinAct	AuxinAct	AuxinAct	AuxinAct
A_pesticides_photosynthesisinhibitors_class		photosynthinh class	PhotosynthInh	PhotosynthInh	PhotosynthInh	PhotosynthInh	PhotosynthInh	PhotosynthInh
L_pesticides_photosynthesisinhibitors_class_verygood		verygood	sehrgut	sehrgut	sehrgut	sehrgut	sehrgut	sehrgut
L_pesticides_photosynthesisinhibitors_class_good		good	gut	gut	gut	gut	gut	gut
L_pesticides_photosynthesisinhibitors_class_moderate		moderate	maessig	maessig	maessig	maessig	maessig	maessig
L_pesticides_photosynthesisinhibitors_class_poor		poor	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend
L_pesticides_photosynthesisinhibitors_class_bad		bad	schlecht	schlecht	schlecht	schlecht	schlecht	schlecht
A_pesticides_VLCFASI_class		VLCFASI class	VLCFASI	VLCFASI	Chloroazetanilide	Chloroazetanilide	VLCFASI	Chloroazetanilide
L_pesticides_VLCFASI_class_verygood		verygood	sehrgut	sehrgut	sehrgut	sehrgut	sehrgut	sehrgut
L_pesticides_VLCFASI_class_good		good	gut	gut	gut	gut	gut	gut
L_pesticides_VLCFASI_class_moderate		moderate	maessig	maessig	maessig	maessig	maessig	maessig
L_pesticides_VLCFASI_class_poor		poor	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend
L_pesticides_VLCFASI_class_bad		bad	schlecht	schlecht	schlecht	schlecht	schlecht	schlecht
A_pesticides_AChEI_class		AChEI class	AChEI	AChEI	Organophosphate	Organophosphate	AChEI	Organophosphate
L_pesticides_AChEI_class_verygood		verygood	sehrgut	sehrgut	sehrgut	sehrgut	sehrgut	sehrgut
L_pesticides_AChEI_class_good		good	gut	gut	gut	gut	gut	gut
L_pesticides_AChEI_class_moderate		moderate	maessig	maessig	maessig	maessig	maessig	maessig
L_pesticides_AChEI_class_poor		poor	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend
L_pesticides_AChEI_class_bad		bad	schlecht	schlecht	schlecht	schlecht	schlecht	schlecht
A_pesticides_auxinactivity_class		auxinactivity class	AuxinAct	Auxinaktivitaet	Auxinaktivitaet	Auxinaktivitaet	AuxinAct	Auxinaktivitaet
L_pesticides_auxinactivity_class_verygood		verygood	sehrgut	sehrgut	sehrgut	sehrgut	sehrgut	sehrgut
L_pesticides_auxinactivity_class_good		good	gut	gut	gut	gut	gut	gut
L_pesticides_auxinactivity_class_moderate		moderate	maessig	maessig	maessig	maessig	maessig	maessig
L_pesticides_auxinactivity_class_poor		poor	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend	unbefriedigend
L_pesticides_auxinactivity_class_bad		bad	schlecht	schlecht	schlecht	schlecht	schlecht	schlecht
								
N_heavymetals		heavymetals	heavymetals	Schwermetalle	Schwermetalle	Schwermetalle	Schwermetalle	Schwermetalle
N_heavymetals_Zn		Zinc	Zinc	Zink	Zink	Zink	Zink	Zink
N_heavymetals_Cu		Copper	Copper	Kupfer	Kupfer	Kupfer	Kupfer	Kupfer
N_heavymetals_Pb		Lead	Lead	Blei	Blei	Blei	Blei	Blei
N_heavymetals_Cd		Cadmium	Cadmium	Cadmium	Cadmium	Cadmium	Cadmium	Cadmium
N_heavymetals_Hg		Mercury	Mercury	Quecksilber	Quecksilber	Quecksilber	Quecksilber	Quecksilber
N_heavymetals_Ni		Nickel	Nickel	Nickel	Nickel	Nickel	Nickel	Nickel
N_heavymetals_Cr		Chromium	Chromium	Chrom	Chrom	Chrom	Chrom	Chrom
A_heavymetals_Zn_mgkgTS		Zinc_mgkgTS	Zn	Zink_mgkgTS	Zn	Zn	Zn	Zn
A_heavymetals_Cu_mgkgTS		Copper_mgkgTS	Cu	Kupfer_mgkgTS	Cu	Cu	Cu	Cu
A_heavymetals_Pb_mgkgTS		Lead_mgkgTS	Pb	Blei_mgkgTS	Pb	Pb	Pb	Pb
A_heavymetals_Cd_mgkgTS		Cadmium_mgkgTS	Cd	Cadmium_mgkgTS	Cd	Cd	Cd	Cd
A_heavymetals_Hg_mgkgTS		Mercury_mgkgTS	Hg	Quecksilber_mgkgTS	Hg	Hg	Hg	Hg
A_heavymetals_Ni_mgkgTS		Nickel_mgkgTS	Ni	Nickel_mgkgTS	Ni	Ni	Ni	Ni
A_heavymetals_Cr_mgkgTS		Chromium_mgkgTS	Cr	Chrom_mgkgTS	Cr	Cr	Cr	Cr
								
N_invertebrates_int	integrative assessment of invertebrates including indices for pollution with organic matter and toxic substances	inverts integrative	inverts integrative	Wirbell. allg.	Wirbell. allg.	Wirbell. allg.	Wirbell. allg.	Wirbell. allg.
N_invertebrates_tox		inverts no tox	inverts no tox	Wirbell. tox.	Wirbell. tox.	Wirbell. tox.	Wirbell. tox.	Wirbell. tox.
N_spear	SPEARpesticides	SPEAR	SPEAR	SPEAR	SPEAR	SPEAR	SPEAR	SPEAR
A_spear_ind	SPEARpesticides	SPEAR_ind	SPEAR	SPEAR_ind	SPEAR	SPEAR	SPEAR	SPEAR
								
N_lake_morphol_bedmod_shallowwater		No bed modifications in the shallow water zone	No bed modifications in the shallow water zone	Keine Sohlenveraenderungen in der Flachwasserzone	Keine Sohlenveraenderungen in der Flachwasserzone	Keine Sohlenveraenderungen in der Flachwasserzone	Keine Sohlenveraenderungen in der Flachwasserzone	Aucune modification du fond
N_lake_morphol_facilities_shallowwater		No facilities or constructions in the shallow water zone 	No facilities or constructions in the shallow water zone 	Keine Anlagen und Strukturen in der Flachwasserzone	Keine Anlagen und Strukturen in der Flachwasserzone	Keine Anlagen und Strukturen in der Flachwasserzone	Keine Anlagen und Strukturen in der Flachwasserzone	Aucune installation ni structure
N_lake_morphol_tributary_mouth		Near natural tributary mouth	Near natural tributary mouth	Naturnahe Anbindung des Fliessgewaessers	Naturnahe Anbindung des Fliessgewaessers	Naturnahe Anbindung des Fliessgewaessers	Naturnahe Anbindung des Fliessgewaessers	Connexion avec les cours d'eau proche de l'etat naturel
N_lake_morphol_shorline_stabilization		No shore line stabilization	No shore line stabilization	Keine Verbauung der Uferlinie	Keine Verbauung der Uferlinie	Keine Verbauung der Uferlinie	Keine Verbauung der Uferlinie	Aucun amenagement de la ligne de rive
N_lake_morphol_shore_stripe_vegetation		Near natural shore stripe vegetation	Near natural shore stripe vegetation	Naturnahe Ufersaumvegetation	Naturnahe Ufersaumvegetation	Naturnahe Ufersaumvegetation	Naturnahe Ufersaumvegetation	Vegetation riveraine proche de l'etat naturel
N_lake_morphol_settlements_industry		No settlements or industry	No settlements or industry	Keine Siedlung, Gewerbe, Industrie	Keine Siedlung, Gewerbe, Industrie	Keine Siedlung, Gewerbe, Industrie	Keine Siedlung, Gewerbe, Industrie	Aucune utilisation aux fins d'habitation, d'artisanat ou d'industrie
N_lake_morphol_recreational_landuse		No recreational land use	No recreational land use	Keine Freizeitnutzung	Keine Freizeitnutzung	Keine Freizeitnutzung	Keine Freizeitnutzung	Aucune activite de loisirs
N_lake_morphol_traffic_areas		No traffic routes and areas	No traffic routes and areas	Keine Verkehrswege und -flaechen	Keine Verkehrswege und -flaechen	Keine Verkehrswege und -flaechen	Keine Verkehrswege und -flaechen	Aucune voie ni surface de circulation
N_lake_morphol_agriculture_forestry		No agricultural or forestry land use	No agricultural or forestry land use	Keine Land- und Forstwirtschaft	Keine Land- und Forstwirtschaft	Keine Land- und Forstwirtschaft	Keine Land- und Forstwirtschaft	Absence d'exploitation agricole ou sylvicole
N_lake_morphol_river_control_structures		No control structures in rivers	No control structures in rivers	Keine Verbauung des Fliessgewaessers	Keine Verbauung des Fliessgewaessers	Keine Verbauung des Fliessgewaessers	Keine Verbauung des Fliessgewaessers	Acun amenagement de cours d'eau
N_lake_morphol_human_landuse_fartherarea		No humann land use in the farther shore area	No humann land use in the farther shore area	Keine Nutzung im Hinterlandstreifen	Keine Nutzung im Hinterlandstreifen	Keine Nutzung im Hinterlandstreifen	Keine Nutzung im Hinterlandstreifen	Aucune utilisation dans la bande retro-litterale
N_lake_morphol_vegetation_bordertofartherarea		Near natural vegetation at the border to the farther shore area	Near natural vegetation at the border to the farther shore area	Naturnahe Hinterland-Uebergangsvegetation	Naturnahe Hinterland-Uebergangsvegetation	Naturnahe Hinterland-Uebergangsvegetation	Naturnahe Hinterland-Uebergangsvegetation	Vegetation de transition proche de l'etat naturel
N_lake_morphol_shallowwaterzone		Near natural shallow water zone	Near natural shallow water zone	Naturnahe Flachwasserzone	Naturnahe Flachwasserzone	Naturnahe Flachwasserzone	Naturnahe Flachwasserzone	Zone littorale proche de l'etat naturel
N_lake_morphol_shoreline		Near natural shore line	Near natural shore line	Naturnahe Uferlinie	Naturnahe Uferlinie	Naturnahe Uferlinie	Naturnahe Uferlinie	Ligne de rive proche de l'etat naturel
N_lake_morphol_human_landuse_neararea		No human land use in the near shore area	No human land use in the near shore area	Keine Nutzung im Uferstreifen	Keine Nutzung im Uferstreifen	Keine Nutzung im Uferstreifen	Keine Nutzung im Uferstreifen	Aucune utilisation dans la bande riveraine
N_lake_morphol_nearshorearea		Near natural near shore area	Near natural near shore area	Naturnaher Uferstreifen	Naturnaher Uferstreifen	Naturnaher Uferstreifen	Naturnaher Uferstreifen	Bande riveraine proche de l'etat naturel
N_lake_morphol_farthershorearea		Near natural farther shore area	Near natural farther shore area	Naturnaher Hinterlandstreifen	Naturnaher Hinterlandstreifen	Naturnaher Hinterlandstreifen	Naturnaher Hinterlandstreifen	Bande de l'arriere-rive proche de l'etat naturel
N_lake_morphol_shorearea		Near natural shore area	Near natural shore area	Naturnahe Uferzone	Naturnahe Uferzone	Naturnahe Uferzone	Naturnahe Uferzone	Rive proche de l'etat naturel
N_lake_morphol_lakeshoremorphology		Near natural morphology of the lake shore	Near natural morphology of the lake shore	Naturnahe Oekomorphologie Seeufer	Naturnahe Oekomorphologie Seeufer	Naturnahe Oekomorphologie Seeufer	Naturnahe Oekomorphologie Seeufer	Ecomorphologie proche de l'etat naturel
A_lake_morphol_E01	E01_Sohlenveraenderungen_FWZ	E01	E01	E01	E01	E01	E01	E01
L_lake_morphol_E01_E01.01		E01.01	E01.01	E01.01	E01.01	E01.01	E01.01	E01.01
L_lake_morphol_E01_E01.02		E01.02	E01.02	E01.02	E01.02	E01.02	E01.02	E01.02
L_lake_morphol_E01_E01.03		E01.03	E01.03	E01.03	E01.03	E01.03	E01.03	E01.03
L_lake_morphol_E01_E01.04		E01.04	E01.04	E01.04	E01.04	E01.04	E01.04	E01.04
L_lake_morphol_E01_E01.05		E01.05	E01.05	E01.05	E01.05	E01.05	E01.05	E01.05
L_lake_morphol_E01_E01.06		E01.06	E01.06	E01.06	E01.06	E01.06	E01.06	E01.06
L_lake_morphol_E01_E01.0601		E01.0601	E01.0601	E01.0601	E01.0601	E01.0601	E01.0601	E01.0601
L_lake_morphol_E01_E01.0602		E01.0602	E01.0602	E01.0602	E01.0602	E01.0602	E01.0602	E01.0602
L_lake_morphol_E01_E01.0603		E01.0603	E01.0603	E01.0603	E01.0603	E01.0603	E01.0603	E01.0603
L_lake_morphol_E01_E01.07		E01.07	E01.07	E01.07	E01.07	E01.07	E01.07	E01.07
L_lake_morphol_E01_E01.08		E01.08	E01.08	E01.08	E01.08	E01.08	E01.08	E01.08
A_lake_morphol_E02	E02_Anlagen_Strukturen_FWZ	E02	E02	E02	E02	E02	E02	E02
L_lake_morphol_E02_E02.01		E02.01	E02.01	E02.01	E02.01	E02.01	E02.01	E02.01
L_lake_morphol_E02_E02.02		E02.02	E02.02	E02.02	E02.02	E02.02	E02.02	E02.02
L_lake_morphol_E02_E02.0201		E02.0201	E02.0201	E02.0201	E02.0201	E02.0201	E02.0201	E02.0201
L_lake_morphol_E02_E02.0202		E02.0202	E02.0202	E02.0202	E02.0202	E02.0202	E02.0202	E02.0202
L_lake_morphol_E02_E02.0203		E02.0203	E02.0203	E02.0203	E02.0203	E02.0203	E02.0203	E02.0203
L_lake_morphol_E02_E02.0204		E02.0204	E02.0204	E02.0204	E02.0204	E02.0204	E02.0204	E02.0204
L_lake_morphol_E02_E02.03		E02.03	E02.03	E02.03	E02.03	E02.03	E02.03	E02.03
L_lake_morphol_E02_E02.0301		E02.0301	E02.0301	E02.0301	E02.0301	E02.0301	E02.0301	E02.0301
L_lake_morphol_E02_E02.0302		E02.0302	E02.0302	E02.0302	E02.0302	E02.0302	E02.0302	E02.0302
L_lake_morphol_E02_E02.0303		E02.0303	E02.0303	E02.0303	E02.0303	E02.0303	E02.0303	E02.0303
L_lake_morphol_E02_E02.0304		E02.0304	E02.0304	E02.0304	E02.0304	E02.0304	E02.0304	E02.0304
L_lake_morphol_E02_E02.0305		E02.0305	E02.0305	E02.0305	E02.0305	E02.0305	E02.0305	E02.0305
L_lake_morphol_E02_E02.04		E02.04	E02.04	E02.04	E02.04	E02.04	E02.04	E02.04
L_lake_morphol_E02_E02.0401		E02.0401	E02.0401	E02.0401	E02.0401	E02.0401	E02.0401	E02.0401
L_lake_morphol_E02_E02.0402		E02.0402	E02.0402	E02.0402	E02.0402	E02.0402	E02.0402	E02.0402
L_lake_morphol_E02_E02.0403		E02.0403	E02.0403	E02.0403	E02.0403	E02.0403	E02.0403	E02.0403
L_lake_morphol_E02_E02.0404		E02.0404	E02.0404	E02.0404	E02.0404	E02.0404	E02.0404	E02.0404
L_lake_morphol_E02_E02.0405		E02.0405	E02.0405	E02.0405	E02.0405	E02.0405	E02.0405	E02.0405
L_lake_morphol_E02_E02.0406		E02.0406	E02.0406	E02.0406	E02.0406	E02.0406	E02.0406	E02.0406
L_lake_morphol_E02_E02.0407		E02.0407	E02.0407	E02.0407	E02.0407	E02.0407	E02.0407	E02.0407
L_lake_morphol_E02_E02.0408		E02.0408	E02.0408	E02.0408	E02.0408	E02.0408	E02.0408	E02.0408
L_lake_morphol_E02_E02.0409		E02.0409	E02.0409	E02.0409	E02.0409	E02.0409	E02.0409	E02.0409
L_lake_morphol_E02_E02.0410		E02.0410	E02.0410	E02.0410	E02.0410	E02.0410	E02.0410	E02.0410
L_lake_morphol_E02_E02.0411		E02.0411	E02.0411	E02.0411	E02.0411	E02.0411	E02.0411	E02.0411
L_lake_morphol_E02_E02.0412		E02.0412	E02.0412	E02.0412	E02.0412	E02.0412	E02.0412	E02.0412
L_lake_morphol_E02_E02.0413		E02.0413	E02.0413	E02.0413	E02.0413	E02.0413	E02.0413	E02.0413
L_lake_morphol_E02_E02.05		E02.05	E02.05	E02.05	E02.05	E02.05	E02.05	E02.05
L_lake_morphol_E02_E02.0501		E02.0501	E02.0501	E02.0501	E02.0501	E02.0501	E02.0501	E02.0501
L_lake_morphol_E02_E02.0502		E02.0502	E02.0502	E02.0502	E02.0502	E02.0502	E02.0502	E02.0502
L_lake_morphol_E02_E02.0503		E02.0503	E02.0503	E02.0503	E02.0503	E02.0503	E02.0503	E02.0503
L_lake_morphol_E02_E02.0504		E02.0504	E02.0504	E02.0504	E02.0504	E02.0504	E02.0504	E02.0504
L_lake_morphol_E02_E02.0505		E02.0505	E02.0505	E02.0505	E02.0505	E02.0505	E02.0505	E02.0505
A_lake_morphol_B02	B02_Fliessgewaesseranbindung	B02	B02	B02	B02	B02	B02	B02
L_lake_morphol_B02_B02.01		B02.01	B02.01	B02.01	B02.01	B02.01	B02.01	B02.01
L_lake_morphol_B02_B02.02		B02.02	B02.02	B02.02	B02.02	B02.02	B02.02	B02.02
L_lake_morphol_B02_B02.03		B02.03	B02.03	B02.03	B02.03	B02.03	B02.03	B02.03
L_lake_morphol_B02_B02.04		B02.04	B02.04	B02.04	B02.04	B02.04	B02.04	B02.04
A_lake_morphol_B01	B01_Verbauung_UL	B01	B01	B01	B01	B01	B01	B01
L_lake_morphol_B01_B01.01		B01.01	B01.01	B01.01	B01.01	B01.01	B01.01	B01.01
L_lake_morphol_B01_B01.02		B01.02	B01.02	B01.02	B01.02	B01.02	B01.02	B01.02
L_lake_morphol_B01_B01.0201		B01.0201	B01.0201	B01.0201	B01.0201	B01.0201	B01.0201	B01.0201
L_lake_morphol_B01_B01.0202		B01.0202	B01.0202	B01.0202	B01.0202	B01.0202	B01.0202	B01.0202
L_lake_morphol_B01_B01.0203		B01.0203	B01.0203	B01.0203	B01.0203	B01.0203	B01.0203	B01.0203
L_lake_morphol_B01_B01.03		B01.03	B01.03	B01.03	B01.03	B01.03	B01.03	B01.03
L_lake_morphol_B01_B01.0301		B01.0301	B01.0301	B01.0301	B01.0301	B01.0301	B01.0301	B01.0301
L_lake_morphol_B01_B01.0302		B01.0302	B01.0302	B01.0302	B01.0302	B01.0302	B01.0302	B01.0302
L_lake_morphol_B01_B01.0303		B01.0303	B01.0303	B01.0303	B01.0303	B01.0303	B01.0303	B01.0303
L_lake_morphol_B01_B01.04		B01.04	B01.04	B01.04	B01.04	B01.04	B01.04	B01.04
L_lake_morphol_B01_B01.0401		B01.0401	B01.0401	B01.0401	B01.0401	B01.0401	B01.0401	B01.0401
L_lake_morphol_B01_B01.0402		B01.0402	B01.0402	B01.0402	B01.0402	B01.0402	B01.0402	B01.0402
L_lake_morphol_B01_B01.0403		B01.0403	B01.0403	B01.0403	B01.0403	B01.0403	B01.0403	B01.0403
L_lake_morphol_B01_B01.0404		B01.0404	B01.0404	B01.0404	B01.0404	B01.0404	B01.0404	B01.0404
L_lake_morphol_B01_B01.0405		B01.0405	B01.0405	B01.0405	B01.0405	B01.0405	B01.0405	B01.0405
L_lake_morphol_B01_B01.05		B01.05	B01.05	B01.05	B01.05	B01.05	B01.05	B01.05
L_lake_morphol_B01_B01.0501		B01.0501	B01.0501	B01.0501	B01.0501	B01.0501	B01.0501	B01.0501
L_lake_morphol_B01_B01.0502		B01.0502	B01.0502	B01.0502	B01.0502	B01.0502	B01.0502	B01.0502
L_lake_morphol_B01_B01.0503		B01.0503	B01.0503	B01.0503	B01.0503	B01.0503	B01.0503	B01.0503
L_lake_morphol_B01_B01.0504		B01.0504	B01.0504	B01.0504	B01.0504	B01.0504	B01.0504	B01.0504
L_lake_morphol_B01_B01.0505		B01.0505	B01.0505	B01.0505	B01.0505	B01.0505	B01.0505	B01.0505
L_lake_morphol_B01_B01.0506		B01.0506	B01.0506	B01.0506	B01.0506	B01.0506	B01.0506	B01.0506
L_lake_morphol_B01_B01.0507		B01.0507	B01.0507	B01.0507	B01.0507	B01.0507	B01.0507	B01.0507
L_lake_morphol_B01_B01.0508		B01.0508	B01.0508	B01.0508	B01.0508	B01.0508	B01.0508	B01.0508
L_lake_morphol_B01_B01.06		B01.06	B01.06	B01.06	B01.06	B01.06	B01.06	B01.06
A_lake_morphol_C06	C06_Ufersaumvegetation_US	C06	C06	C06	C06	C06	C06	C06
L_lake_morphol_C06_C06.01		C06.01	C06.01	C06.01	C06.01	C06.01	C06.01	C06.01
L_lake_morphol_C06_C06.02		C06.02	C06.02	C06.02	C06.02	C06.02	C06.02	C06.02
L_lake_morphol_C06_C06.03		C06.03	C06.03	C06.03	C06.03	C06.03	C06.03	C06.03
L_lake_morphol_C06_C06.04		C06.04	C06.04	C06.04	C06.04	C06.04	C06.04	C06.04
A_lake_morphol_C01	C01_Siedlung_Gewerbe_Industrie_US	C01	C01	C01	C01	C01	C01	C01
L_lake_morphol_C01_C01.01		C01.01	C01.01	C01.01	C01.01	C01.01	C01.01	C01.01
L_lake_morphol_C01_C01.02		C01.02	C01.02	C01.02	C01.02	C01.02	C01.02	C01.02
L_lake_morphol_C01_C01.03		C01.03	C01.03	C01.03	C01.03	C01.03	C01.03	C01.03
L_lake_morphol_C01_C01.0301		C01.0301	C01.0301	C01.0301	C01.0301	C01.0301	C01.0301	C01.0301
L_lake_morphol_C01_C01.0302		C01.0302	C01.0302	C01.0302	C01.0302	C01.0302	C01.0302	C01.0302
L_lake_morphol_C01_C01.0303		C01.0303	C01.0303	C01.0303	C01.0303	C01.0303	C01.0303	C01.0303
L_lake_morphol_C01_C01.04		C01.04	C01.04	C01.04	C01.04	C01.04	C01.04	C01.04
L_lake_morphol_C01_C01.05		C01.05	C01.05	C01.05	C01.05	C01.05	C01.05	C01.05
L_lake_morphol_C01_C01.0501		C01.0501	C01.0501	C01.0501	C01.0501	C01.0501	C01.0501	C01.0501
L_lake_morphol_C01_C01.0502		C01.0502	C01.0502	C01.0502	C01.0502	C01.0502	C01.0502	C01.0502
L_lake_morphol_C01_C01.0503		C01.0503	C01.0503	C01.0503	C01.0503	C01.0503	C01.0503	C01.0503
L_lake_morphol_C01_C01.0504		C01.0504	C01.0504	C01.0504	C01.0504	C01.0504	C01.0504	C01.0504
L_lake_morphol_C01_C01.06		C01.06	C01.06	C01.06	C01.06	C01.06	C01.06	C01.06
L_lake_morphol_C01_C01.0601		C01.0601	C01.0601	C01.0601	C01.0601	C01.0601	C01.0601	C01.0601
L_lake_morphol_C01_C01.0602		C01.0602	C01.0602	C01.0602	C01.0602	C01.0602	C01.0602	C01.0602
L_lake_morphol_C01_C01.0603		C01.0603	C01.0603	C01.0603	C01.0603	C01.0603	C01.0603	C01.0603
L_lake_morphol_C01_C01.0604		C01.0604	C01.0604	C01.0604	C01.0604	C01.0604	C01.0604	C01.0604
L_lake_morphol_C01_C01.0605		C01.0605	C01.0605	C01.0605	C01.0605	C01.0605	C01.0605	C01.0605
L_lake_morphol_C01_C01.07		C01.07	C01.07	C01.07	C01.07	C01.07	C01.07	C01.07
L_lake_morphol_C01_C01.0701		C01.0701	C01.0701	C01.0701	C01.0701	C01.0701	C01.0701	C01.0701
L_lake_morphol_C01_C01.0702		C01.0702	C01.0702	C01.0702	C01.0702	C01.0702	C01.0702	C01.0702
L_lake_morphol_C01_C01.0703		C01.0703	C01.0703	C01.0703	C01.0703	C01.0703	C01.0703	C01.0703
L_lake_morphol_C01_C01.0704		C01.0704	C01.0704	C01.0704	C01.0704	C01.0704	C01.0704	C01.0704
A_lake_morphol_C02	C02_Freizeitnutzung_US	C02	C02	C02	C02	C02	C02	C02
L_lake_morphol_C02_C02.01		C02.01	C02.01	C02.01	C02.01	C02.01	C02.01	C02.01
L_lake_morphol_C02_C02.02		C02.02	C02.02	C02.02	C02.02	C02.02	C02.02	C02.02
L_lake_morphol_C02_C02.03		C02.03	C02.03	C02.03	C02.03	C02.03	C02.03	C02.03
L_lake_morphol_C02_C02.0301		C02.0301	C02.0301	C02.0301	C02.0301	C02.0301	C02.0301	C02.0301
L_lake_morphol_C02_C02.0302		C02.0302	C02.0302	C02.0302	C02.0302	C02.0302	C02.0302	C02.0302
L_lake_morphol_C02_C02.0303		C02.0303	C02.0303	C02.0303	C02.0303	C02.0303	C02.0303	C02.0303
L_lake_morphol_C02_C02.0304		C02.0304	C02.0304	C02.0304	C02.0304	C02.0304	C02.0304	C02.0304
L_lake_morphol_C02_C02.0305		C02.0305	C02.0305	C02.0305	C02.0305	C02.0305	C02.0305	C02.0305
L_lake_morphol_C02_C02.0306		C02.0306	C02.0306	C02.0306	C02.0306	C02.0306	C02.0306	C02.0306
L_lake_morphol_C02_C02.04		C02.04	C02.04	C02.04	C02.04	C02.04	C02.04	C02.04
